Year,Month,Exports (INR Crores),Exports (USD Millions),Exports Oil (INR Crores),Exports Oil (USD Millions),Exports Non-oil (INR Crores),Exports Non-oil (USD Millions),Imports (INR Crores),Imports (USD Millions),Imports Oil (INR Crores),Imports Oil (USD Millions),Imports Non-oil (INR Crores),Imports Non-oil (USD Millions),Trade Balance (INR Crores),Trade Balance (USD Millions),Trade Balance Oil (INR Crores),Trade Balance Oil (USD Millions),Trade Balance Non-oil (INR Crores),Trade Balance Non-oil (USD Millions)
2025.0,December,346688,38481.9,39439.0,4377.7,307249.0,34104.2,572508,63547.5,129746.0,14401.7,442761.0,49145.8,-225819,-25065.6,-90307.0,-10023.9,-135512.0,-15041.7
2025.0,November,337545,38000.9,33773.0,3802.2,303772.0,34198.7,556838,62688.9,125374.0,14114.6,431464.0,48574.3,-219293,-24688.0,-91600.0,-10312.4,-127692.0,-14375.6
2025.0,October,301550,34105.7,32727.0,3701.4,268824.0,30404.3,672930,76109.1,130782.0,14791.6,542148.0,61317.6,-371379,-42003.4,-98055.0,-11090.1,-273324.0,-30913.3
2025.0,September,319134,36132.7,41643.0,4714.9,277491.0,31417.8,610267,69095.2,123926.0,14031.1,486341.0,55064.1,-291133,-32962.5,-82283.0,-9316.2,-208850.0,-23646.3
2025.0,August,304331,34773.3,36510.0,4171.7,267820.0,30601.6,542389,61974.3,116064.0,13261.7,426324.0,48712.5,-238058,-27200.9,-79554.0,-9090.0,-158504.0,-18110.9
2025.0,July,318775,37017.6,35545.0,4127.7,283230.0,32889.9,558744,64883.8,134067.0,15568.5,424677.0,49315.3,-239969,-27866.2,-98522.0,-11440.8,-141447.0,-16425.4
2025.0,June,300402,34969.8,38272.0,4455.3,262130.0,30514.5,464626,54087.1,118520.0,13796.8,346107.0,40290.2,-164224,-19117.3,-80247.0,-9341.6,-83977.0,-9775.7
2025.0,May,326304,38303.3,46325.0,5437.9,279979.0,32865.4,518426,60855.5,125621.0,14746.0,392806.0,46109.5,-192122,-22552.2,-79295.0,-9308.1,-112826.0,-13244.1
2025.0,April,327556,38283.2,60954.0,7124.0,266602.0,31159.2,559409,65381.2,177124.0,20701.5,382285.0,44679.7,-231854,-27098.0,-116170.0,-13577.4,-115683.0,-13520.5
2025.0,March,364291,42047.6,42411.0,4895.2,321880.0,37152.4,550211,63507.1,164684.0,19008.4,385527.0,44498.7,-185921,-21459.5,-122274.0,-14113.2,-63647.0,-7346.3
2025.0,February,321327,36910.9,49785.0,5718.8,271542.0,31192.1,443663,50963.7,103528.0,11892.3,340135.0,39071.4,-122336,-14052.7,-53743.0,-6173.5,-68593.0,-7879.3
2025.0,January,313477,36338.5,29999.0,3477.6,283477.0,32861.0,512680,59430.3,115941.0,13440.0,396739.0,45990.3,-199203,-23091.8,-85942.0,-9962.4,-113262.0,-13129.4
2024.0,December,321282,37804.0,40021.0,4709.2,281261.0,33094.9,496989,58478.8,115543.0,13595.5,381447.0,44883.4,-175707,-20674.8,-75521.0,-8886.3,-100186.0,-11788.5
2024.0,November,269481,31942.5,29707.0,3521.3,239774.0,28421.2,539329,63928.5,134208.0,15908.2,405121.0,48020.3,-269848,-31986.0,-104501.0,-12386.9,-165347.0,-19599.1
2024.0,October,327573,38983.1,37085.0,4413.4,290488.0,34569.7,546776,65069.5,158683.0,18884.2,388093.0,46185.4,-219203,-26086.4,-121597.0,-14470.8,-97606.0,-11615.6
2024.0,September,285611,34079.2,36053.0,4301.9,249558.0,29777.3,492119,58719.6,124916.0,14905.0,367202.0,43814.6,-206507,-24640.4,-88863.0,-10603.1,-117645.0,-14037.4
2024.0,August,275936,32890.1,35277.0,4204.9,240658.0,28685.2,574772,68509.8,101739.0,12126.8,473032.0,56383.0,-298836,-35619.7,-66462.0,-7922.0,-232374.0,-27697.8
2024.0,July,273184,32679.5,32321.0,3866.4,240863.0,28813.2,497167,59473.5,121162.0,14494.0,376005.0,44979.6,-223984,-26794.0,-88841.0,-10627.6,-135143.0,-16166.4
2024.0,June,295870,35445.8,49170.0,5890.7,246699.0,29555.1,467413,55997.1,125703.0,15059.5,341709.0,40937.5,-171543,-20551.2,-76533.0,-9168.8,-95010.0,-11382.4
2024.0,May,323404,38780.8,59555.0,7141.4,263850.0,31639.3,514327,61675.2,166553.0,19972.1,347774.0,41703.1,-190923,-22894.4,-106999.0,-12830.7,-83924.0,-10063.7
2024.0,April,331976,39802.5,93772.0,11242.8,238205.0,28559.6,454463,54488.0,137565.0,16493.4,316898.0,37994.6,-122487,-14685.6,-43793.0,-5250.6,-78694.0,-9435.0
2024.0,March,346040,41692.7,44950.0,5415.9,301089.0,36276.9,470087,56638.7,135638.0,16342.4,334449.0,40296.3,-124047,-14945.9,-90687.0,-10926.5,-33360.0,-4019.4
